Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3b86fb659fcd3a3627d48538dd930d77f656dfedda41dd640e1725d383f769f2,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
affe5ceb039430d9cea661d063144f0ff193150193840efea297813b0c361b49,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.094519,51.416262,On or near Stonebridge Mews,E01001162,Croydon 001D,Investigation complete; no suspect identified
eba8ff3f93d952370d754162d9e1d88a6ed2b83f04ec33e02dd1bf6ab8a237fb,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.049692,51.392935,On or near Horton Way,E01032569,Croydon 045E,Investigation complete; no suspect identified
3b9edf294d6da97e75ddecc5b528c36e7c7f3293d0ba23e1431257662d826098,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.082737,51.371637,On or near Bardsley Close,E01001046,Croydon 023B,Investigation complete; no suspect identified
9913997d9e69f89408e1e650faa923712dd011a1ea9b7ecf57c0205eea1b7a22,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.11607,51.373032,On or near Cabot Close,E01001014,Croydon 024A,Investigation complete; no suspect identified
5bdb60bd888d4aad12af6944fe0b9abb0002ed848b0ef3e4c60221661c28d79e,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.005319,51.424489,On or near Goudhurst Road,E01032564,Lewisham 037E,Investigation complete; no suspect identified
869b4b8e71cdc31e20e7e0f365b794910b49a33b7ace4a2f22ec762ff97b2f3f,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.043254,51.472351,On or near Musgrove Road,E01003340,Lewisham 006C,Investigation complete; no suspect identified
ddf0dd941e4140c2021d34c474b8f917a7eac0c8290f6110731487aa06320ed3,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.040546,51.488168,On or near Hicks Street,E01003247,Lewisham 001C,Investigation complete; no suspect identified
39cfaffc03d100ccc2947e54a106ed5707b6916dfc0ca9aa6d501728508f753e,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.047873,51.489612,On or near Island Road,E01003245,Lewisham 001B,Investigation complete; no suspect identified
ebe51d1edddf44fef2cc84db84d06a4ca202ebaaf3e08ece125dfa09a79fc053,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.045118,51.428731,On or near Burghill Road,E01003335,Lewisham 035E,Investigation complete; no suspect identified
d694bf2a3047e8d5776749b2da357a3a7a885323a842586266479f9aacb8465d,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.015629,51.450942,On or near Roxley Road,E01003293,Lewisham 017B,Investigation complete; no suspect identified
e4fcf7099133d0916175b69e93bf266c94ad7e5e51cd05b8310dc657df14d06d,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.054465,51.424741,On or near Venner Road,E01003328,Lewisham 035C,Investigation complete; no suspect identified
9e5ad9c0a6fa032d43175b892a6fc9450f554921b5aee1580c24165f2a6afce0,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.110417,51.558603,On or near Stacey Street,E01002732,Islington 005A,Investigation complete; no suspect identified
e8b2eb61ff8f91215c68269ab8fcb56186764f06c2cf38c02ec72779449b039a,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.179343,51.603449,On or near Queen's Avenue,E01000319,Barnet 027F,Investigation complete; no suspect identified
86a5a4f463db85ed6f8504582d705cc8d16863cdbcc1b6f40e9c0c83689f3373,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.260365,51.61412,On or near Sefton Avenue,E01000233,Barnet 013F,Investigation complete; no suspect identified
2e9ad18adb694f2812c7146e23a1649b9dc8d8b74b1ae6e810dd379095804eaf,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.190678,51.514429,On or near Kensington Gardens Square,E01004699,Westminster 017F,Investigation complete; no suspect identified
c7de049141ec1310124acb5ec8c85cd3c8fd6b8c38f429fc1eafeacd371930d0,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.159232,51.520801,On or near Gloucester Place,E01004660,Westminster 008B,Investigation complete; no suspect identified
a1a5dfb2e5fa0ff4d589b0d33e33536e068813d443f88961771575851b3579aa,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.124528,51.51401,On or near ,E01004735,Westminster 018B,Investigation complete; no suspect identified
38f2d9bca941e0a61da989f279aff6b652bcb7ca23c084477c9e489ad73d527f,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.172129,51.515499,On or near Sussex Gardens,E01033594,Westminster 015G,Investigation complete; no suspect identified
64698f985cef3c511405211b8cf322969bde9a6028bfd52e069932deb1f99e2b,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.164973,51.525009,On or near Rossmore Road,E01004670,Westminster 009A,Investigation complete; no suspect identified
d120f066f143744881d39517eae5fe3426e29197ce7f9e2d0a3ab23dbc3dcd16,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.187792,51.513791,On or near Queensway,E01004699,Westminster 017F,Investigation complete; no suspect identified
c94002c6b754def898d5e8e856c5428cfa54a785bcc45ae00954608c1db30fcc,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.194515,51.480416,On or near ,E01001920,Hammersmith and Fulham 020A,Investigation complete; no suspect identified
f09d6f782c77b4d2e79fed979c2b35af50f8df7cda9cb6e6cd2e4d1f8fd2be74,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.246735,51.502592,On or near Gransden Road,E01001865,Hammersmith and Fulham 008B,Investigation complete; no suspect identified
03d2a3d300ba40f11496c0a3b40a5d57b4a3a4c5e3ab567754a5229dd2808917,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.19156,51.472115,On or near Wandsworth Bridge Road,E01001925,Hammersmith and Fulham 025A,Investigation complete; no suspect identified
a8fe2f65cfe2d8e20d071206e1162d7b192a76e7aacad6361b6d8f8ef2129058,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.200441,51.502934,On or near Sheldrake Place,E01002825,Kensington and Chelsea 008B,Investigation complete; no suspect identified
5d4306613f27da25e46b887935821a559f7ee2ff6561937f9cf4c9004d044cb4,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.018326,51.490673,On or near Ambassador Square,E01004281,Tower Hamlets 031D,Investigation complete; no suspect identified
930766c79dc8efca16431e193aa721c3117f6fa1033b2200cca7cbbfff9a4eb9,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.02164,51.397625,On or near Masons Hill,E01000670,Bromley 018A,Investigation complete; no suspect identified
645d21e1abee86dff071fc2a18bd238e8c36279e37810e3d60f727c06133aefd,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.026449,51.406895,On or near Widmore Road,E01000675,Bromley 018B,Investigation complete; no suspect identified
efe372eee3708ad20088e8a91f8566d4eb3b15c71e5dce9189144e78c6352e64,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.106999,51.366526,On or near Wyvern Close,E01000793,Bromley 032D,Investigation complete; no suspect identified
d8ce347c4fe45d5ade7791c1f6b17a19eedd47542ebb15efb80f3a54299d7742,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.090875,51.379351,On or near Mayfield Avenue,E01000812,Bromley 028D,Investigation complete; no suspect identified
93784b821f6ee3eb0d448f2e475443da00611aea43ba1e55ab96efb75bb19db2,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.050865,51.418413,On or near Hardings Lane,E01000805,Bromley 004E,Investigation complete; no suspect identified
5ad42cd9f30379c9f7e35b84b7c7817af49a9799d0e09d39ae5174085b5915e6,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.019217,51.37665,On or near High Street,E01000835,Bromley 030B,Investigation complete; no suspect identified
cb70442d3fe1c36fd4c060840357e0188734d9c59abe0fcab1bcfcbb2a3570e2,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.036426,51.462021,On or near Harcourt Road,E01003214,Lewisham 008D,Investigation complete; no suspect identified
f9b9802fb5ba320584328b87d5254dcf97a482e0f331104639d9be4f0dd8de26,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.138593,51.578009,On or near Shepherd's Hill,E01001987,Haringey 033C,Investigation complete; no suspect identified
52f4ea534316a2ddfda097674f970f174409f154ba71a317ab63f30d99a22043,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.092291,51.546349,On or near Douglas Road North,E01002717,Islington 016A,Investigation complete; no suspect identified
dd5f3d2d7c9af69ce4bc4a417be7d534bf4865c0ca1843786f1a6b17ec05c002,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.282831,51.559993,On or near Harbutt Road,E01033424,Brent 017F,Investigation complete; no suspect identified
77359f84823f804168c48ab75b8d5eeea54c41dc5ab6168a87f409937b9f550c,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.257754,51.592922,On or near Mannock Close,E01000148,Barnet 030B,Investigation complete; no suspect identified
c92f548d033a26071ea8dfb474dd8b05c7a5938c711465146959fe3f6dc757de,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.201384,51.428086,On or near Waldemar Road,E01003476,Merton 003D,Suspect charged
ee31e671bf95b8eaabcd3ece22b00b53e4245206fa330bda10cfe2acb2b02f28,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.265744,51.466779,On or near Howgate Road,E01003808,Richmond upon Thames 005C,Investigation complete; no suspect identified
55d441862d09121aa640a5fbc7f763b5cdd105446166dcbebf55d8fd7762e485,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.293934,51.408085,On or near Hawks Road,E01002971,Kingston upon Thames 005C,Investigation complete; no suspect identified
5063e2066eec371ece5ddfdac81126d873e440e5d21c18fd641ca11441045532,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.150626,51.430749,On or near Macmillan Way,E01004483,Wandsworth 026D,Investigation complete; no suspect identified
66916967cb2f8c7f0d8bcd9c4762e78ff463281f24584b31fe773bcbf3b8da77,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.417872,51.506905,On or near ,E01002506,Hillingdon 027E,Investigation complete; no suspect identified
a145c1e827589745dce20ab68c4ee06f76ea5303a9bb051f839e773bb8f5fecf,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.420186,51.504562,On or near ,E01002407,Hillingdon 030A,Investigation complete; no suspect identified
bbba5534e556600f270e30bbdf35544a61cd6dd177f43ee17e6ca66b210e8583,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.303895,51.463327,On or near Park Lane,E01003876,Richmond upon Thames 008B,Investigation complete; no suspect identified
bab6ae4b887a4a1bb6e9126570853554c0081a1202886ff529463ea1d883f68b,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.18941,51.5144,On or near Redan Place,E01004699,Westminster 017F,Investigation complete; no suspect identified
a1875ff05298a232953b4c2063c51edf369665cb2b2d3f6c562eb0221f80e684,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.169625,51.498878,On or near Ennismore Gardens,E01002819,Kensington and Chelsea 012B,Investigation complete; no suspect identified
e8394acd433b98fa5d0638ec5b168e943693f4455448cbbb9dfeffe74600e301,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.144371,51.522923,On or near ,E01004715,Westminster 013A,Investigation complete; no suspect identified
15504cf86f29463caedf925ca82d4f468806497a8abf989c9739a1ccf79bd72a,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.135857,51.514677,On or near D'arblay Street,E01033595,Westminster 013E,Investigation complete; no suspect identified
e115f40f6861a00762f03f8f9a4bf1dad6e129239c8a64c8890e0afd57f9a4f2,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.19769,51.523358,On or near Windsor Gardens,E01004755,Westminster 010B,Investigation complete; no suspect identified
c876c1d10dc88aff5ee57dff95c7b6d1ac617885ec044c6272d36e76f91b72a5,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.128701,51.511703,On or near Little Newport Street,E01004734,Westminster 018A,Investigation complete; no suspect identified
77759d45289ddf96b6a1436cc9fc3c238de5b9651150fe207079128d3f847468,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.190168,51.516022,On or near Westbourne Grove Terrace,E01004654,Westminster 014B,Investigation complete; no suspect identified
1d69728b3b0dbd100dcb9f70d819135e29a80cdd12024f5cdbfee81050f276f9,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.164973,51.525009,On or near Rossmore Road,E01004670,Westminster 009A,Investigation complete; no suspect identified
25b52ea1d59bf683e015726066132f0aa1f5197dca2229b16f42472f37fc0b13,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.164973,51.525009,On or near Rossmore Road,E01004670,Westminster 009A,Investigation complete; no suspect identified
d7ecb631656fcb30dc82fec3524488c52290120c9fc26379917d5c9cbb7a25e1,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.299012,51.400659,On or near Geneva Road,E01002966,Kingston upon Thames 010C,Investigation complete; no suspect identified
43bfcb7a72ad86564431e1db694c75fcb4b06254f9b6158d1f19984acc5206d7,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.271014,51.427155,On or near Coombe Wood Road,E01002956,Kingston upon Thames 002D,Investigation complete; no suspect identified
eedf30e7016a12427c0aca237b65bc080e54ec6b75ea9a18e5a36b60ed639b83,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.200361,51.530566,On or near Denholme Road,E01004677,Westminster 005C,Investigation complete; no suspect identified
98b5b5f697227374111afcfa6d82f08f69fefb6ba42a8d14e48ab432648a8a4e,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.137289,51.513494,On or near Dufour's Place,E01033596,Westminster 013F,Investigation complete; no suspect identified
faa94193d60462548c55edfc4e5181e35870d7b19481df68816f309e69f2df0f,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.137289,51.513494,On or near Dufour's Place,E01033596,Westminster 013F,Investigation complete; no suspect identified
faa94193d60462548c55edfc4e5181e35870d7b19481df68816f309e69f2df0f,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.137289,51.513494,On or near Dufour's Place,E01033596,Westminster 013F,Investigation complete; no suspect identified
2fba29eedf84acf0fd56407d7fb4e55dfd38713b7d7e0c8f64bb51413803ef55,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.210149,51.49052,On or near Talgarth Road,E01001872,Hammersmith and Fulham 012F,Investigation complete; no suspect identified
b2731ae3f47be6482e55e3d6bb4c744413fb03dfff805082bd537095e8e07480,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.191264,51.478873,On or near Britannia Road,E01001921,Hammersmith and Fulham 020B,Investigation complete; no suspect identified
3ba96ea52021100b05b40620ae1c54e037dd87f1a259e30aa0174974311f24b1,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.237415,51.516337,On or near ,E01001876,Hammersmith and Fulham 001C,Investigation complete; no suspect identified
1a22b1fbc508b1fc56e6ceb507a58e05bd38d27789412c46b2396653c897d80d,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.22622,51.518083,On or near Eynham Road,E01001874,Hammersmith and Fulham 001A,Investigation complete; no suspect identified
703be2b612e704a0fd73519fbcbc49fb60318687a891c04724fd03472d0a86cd,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.215798,51.527709,On or near Ladbroke Grove,E01004720,Westminster 004C,Investigation complete; no suspect identified
7d8f074a5995d990b5bd92bf1ff2109e48a6ba31a859a1428a6ba68e58999237,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.177056,51.486305,On or near Elm Park Road,E01002911,Kensington and Chelsea 019D,Investigation complete; no suspect identified
d9b929f9ea9cdbb8619fdac80732fb8b8b7c81d05e27a4da490456a8c635fec8,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.219019,51.606306,On or near Farnham Road,E01002282,Havering 004B,Investigation complete; no suspect identified
91cb4eaf6a8b9822c6dd0aeebfa5709d410e971590fdcbeec26f81c521267630,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.170244,51.526246,On or near Queens Gardens,E01002368,Havering 028A,Investigation complete; no suspect identified
c8219ff9acd561a56402ebafa7ef10e9bff6a32c69b09b34555f427bc9abb0af,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.17517,51.590849,On or near Priests Avenue,E01002338,Havering 009E,Investigation complete; no suspect identified
cb8917295f84191d6c4468b6e2c3f61c3fee9420ba59b7160ced88bb24294037,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.212055,51.519746,On or near Lamb's Lane North,E01002344,Havering 029B,Investigation complete; no suspect identified
e5f78309abee2d8b49340669bed0976c8e2e485016fbafd0f96332a008af9704,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.206214,51.603139,On or near Grange Road,E01002311,Havering 006C,Investigation complete; no suspect identified
86e06e5eb5520f0ab2b4dc7952bdc5865366d2231a24b93fac829eddb34d7b13,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.194525,51.566164,On or near Park Lane,E01002320,Havering 021A,Investigation complete; no suspect identified
0c91b76bdbfcbddebe4757440638c5d311a620722fb2fa64a117886843511042,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.168464,51.569787,On or near Beechfield Gardens,E01002247,Havering 017B,Investigation complete; no suspect identified
1acb45a6f512269b4385e0aace28298d84762c1ca7db2e82e5a5e90f56b7b4d5,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.164547,51.581801,On or near Denbar Parade,E01002329,Havering 011D,Investigation complete; no suspect identified
99bbbe338f9afa653e59130f8251944e6d92288c566bef373ac13164d8a52dfa,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.190095,51.518413,On or near Broadway,E01002345,Havering 030B,Investigation complete; no suspect identified
6c7c091338c7b4e9f40b21a5e78c316e63352f79ff26e011b693f8d3051dc772,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.231641,51.51544,On or near Bentworth Road,E01001876,Hammersmith and Fulham 001C,Suspect charged
8788e6d3574d5b7561ba8bbe5cf1c5343aa0ac36cff7af079cdb921a0c185838,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.05221,51.510754,On or near Winchester Close,E01003479,Newham 035A,Investigation complete; no suspect identified
67468dcc59954fb778837a4a3daf695640f3bf86c3d19b6a60a07a291dd9b8ad,2023-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1d93ddadd9f2dd3c04663e5ded4c9bc2f5b0d5c2ea3eeedf7dd8b1fa462b020a,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.021914,51.513286,On or near Chevron Close,E01003517,Newham 036E,Investigation complete; no suspect identified
1c8a36d651a2491c911c9b06186b24f3946d8831368c1d008846eea599efc5cf,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.028653,51.523214,On or near Wigston Road,E01003602,Newham 026C,Investigation complete; no suspect identified
ff59c31db9334693eac580bf2c4619067726da62ea768d3b274848448b53e961,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.011978,51.534733,On or near John Street,E01003630,Newham 021C,Investigation complete; no suspect identified
e4858993acede38cb4187bd106e5efd6ee188f5adfe23a98532812cf3882064b,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.041008,51.515815,On or near Fulmer Road,E01003518,Newham 032D,Investigation complete; no suspect identified
04bbbe18462aa63e270c3849ddb8a4810d3d822b6404b9c74d989a8896c77f8c,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.165137,51.485058,On or near St Loo Avenue,E01002900,Kensington and Chelsea 018B,Investigation complete; no suspect identified
d8ccd10ad54eedf58431587ef46c2b71e2d57b6a627b0feae3cd9f6a8ab98bf0,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.176951,51.488579,On or near Cranley Gardens,E01002838,Kensington and Chelsea 020A,Investigation complete; no suspect identified
04504ac866ebb3e8d9e8693c41290d200a3f4a7b7a950b79a0d680048c40c514,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.185383,51.481902,On or near Hortensia Road,E01002912,Kensington and Chelsea 020E,Investigation complete; no suspect identified
83e10c768e7a8137bc2bbe1828d1ea8d060ff677cfff733429af7d73c457e82f,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.217417,51.563053,On or near Billet Lane,E01002361,Havering 020C,Investigation complete; no suspect identified
1041403c44310f726732a837fc6eb54818d5dff333974ced973f6e371d061cfc,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.005302,51.554748,On or near High Road Leytonstone,E01004328,Waltham Forest 028B,Investigation complete; no suspect identified
aea19ea574aff0a4c5838985c47a6b8a97a1aa776c6052243a852d0a209d8bb1,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.072431,51.538717,On or near Harbard Close,E01000010,Barking and Dagenham 015C,Investigation complete; no suspect identified
cd2340512e3b76b086800e46b0d308d9c23744e84244dfb393ad9c91652ccefa,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.07938,51.631621,On or near Ainsley Close,E01001403,Enfield 021E,Investigation complete; no suspect identified
8449973649cf9274980ef67dfb94cd6544b32d93c67d3674a3dfc292f701131a,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.03214,51.678121,On or near Princes Avenue,E01001444,Enfield 001A,Investigation complete; no suspect identified
0183d575ccaa233707caca29acb6614e4fc9c27cf61319e5bcae553bb60963de,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.079261,51.65258,On or near St Andrew's Road,E01001536,Enfield 008B,Investigation complete; no suspect identified
286d9dae7e063e63ca1ee280522f5d4b5b1535ea493590b4fd6919fe80fd7e5f,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.096868,51.609766,On or near Ravenoak Way,E01003725,Redbridge 003C,Investigation complete; no suspect identified
82a83bcb590141ec619f68190518d617aa90bee8b199bdbbc66937ba9876e33d,2023-02,Metropolitan Police Service,Metropolitan Police Service,0.052617,51.570746,On or near Canterbury Avenue,E01003693,Redbridge 035D,Investigation complete; no suspect identified
8d9cb9f7836ddce40e3bc46a22aa6faa93c45ee328ca6ce2da3be625aa17b0d4,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.072893,51.569539,On or near Stamford Hill,E01001726,Hackney 004B,Investigation complete; no suspect identified
fc4ebf001799887bb7019af804b9c0bd07110843f791621b14cdac7aeb22ac82,2023-02,Metropolitan Police Service,Metropolitan Police Service,-0.100571,51.562238,On or near Blackstock Road,E01001718,Hackney 007D,Investigation complete; no suspect identified
